sample_id,flare_file,gt_file,loading_time_s,metrics_time_s,total_time_s,chamfer_distance,gaussian_distance,event_count_ratio,temporal_overlap,est_event_count,gt_event_count
composed_00504,Datasets/simu/background_with_flare_events_testoutput/composed_00504_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00504_bg_light.h5,0.2112228870391845,2.1673426628112797,2.378569364547729,4.841716065108632,1.7978271584982886,0.8242801179273858,0.999900009999,367380.0,445698.0
composed_00505,Datasets/simu/background_with_flare_events_testoutput/composed_00505_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00505_bg_light.h5,0.4084296226501465,5.961870193481445,6.370302200317383,2.8624414424399207,1.467534950577901,0.4425261765893517,0.9998500224966256,725496.0,1639442.0
composed_00506,Datasets/simu/background_with_flare_events_testoutput/composed_00506_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00506_bg_light.h5,0.4804320335388183,25.71837878227234,26.198813676834103,6.669177439336547,1.614636295176353,0.225899622949369,0.999830028895088,418667.0,1853332.0
composed_00507,Datasets/simu/background_with_flare_events_testoutput/composed_00507_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00507_bg_light.h5,0.3841757774353027,6.526298999786377,6.910477161407471,7.691494334923709,1.6103580752378472,0.4152838360362266,0.9998400255959048,643974.0,1550684.0
composed_00508,Datasets/simu/background_with_flare_events_testoutput/composed_00508_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00508_bg_light.h5,0.5680749416351318,10.132745504379272,10.700823545455933,2.3128211939419714,1.4159433572234057,0.5918469323154355,0.9998400255959048,1273277.0,2151362.0
composed_00509,Datasets/simu/background_with_flare_events_testoutput/composed_00509_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00509_bg_light.h5,0.3577325344085693,5.2812559604644775,5.638991355895996,2.7117180106817838,1.496930177052889,1.0478315873579545,0.9998500224966256,944222.0,901120.0
composed_00510,Datasets/simu/background_with_flare_events_testoutput/composed_00510_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00510_bg_light.h5,0.6383004188537598,11.381669282913208,12.01997208595276,2.0778049055287657,1.3788485120189722,0.4684321064161221,0.999830028895088,1243446.0,2654485.0
composed_00511,Datasets/simu/background_with_flare_events_testoutput/composed_00511_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00511_bg_light.h5,0.5112626552581787,6.949496984481812,7.4607625007629395,8.077386515546399,1.732734774491921,0.2256403634228408,0.999830028895088,463049.0,2052155.0
composed_00512,Datasets/simu/background_with_flare_events_testoutput/composed_00512_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00512_bg_light.h5,0.5022201538085938,13.610661745071411,14.112883806228638,3.206732492585957,1.4964539601354296,0.642970088361887,0.9998500224966256,1111712.0,1729026.0
composed_00513,Datasets/simu/background_with_flare_events_testoutput/composed_00513_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00513_bg_light.h5,0.500800371170044,8.538055419921875,9.03887414932251,3.444051492294192,1.4850931499863351,0.4856899558696738,0.9998600195972566,913152.0,1880113.0
composed_00514,Datasets/simu/background_with_flare_events_testoutput/composed_00514_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00514_bg_light.h5,0.5982489585876465,3.1646785736083984,3.762929677963257,9.45508286287236,1.937310860131471,1.163991810789142,0.9998900120986692,650420.0,558784.0
composed_00515,Datasets/simu/background_with_flare_events_testoutput/composed_00515_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00515_bg_light.h5,0.3992612361907959,4.165930986404419,4.565194845199585,2.389418612259965,1.19898138807096,0.8066453369415335,0.9998400255959048,686773.0,851394.0
composed_00516,Datasets/simu/background_with_flare_events_testoutput/composed_00516_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00516_bg_light.h5,0.5606560707092285,5.018652439117432,5.5793116092681885,2.4504386951277484,1.4518346526440111,0.8581105478432053,0.9998400255959048,841283.0,980390.0
composed_00517,Datasets/simu/background_with_flare_events_testoutput/composed_00517_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00517_bg_light.h5,0.7681057453155518,39.20664811134338,39.97475743293762,4.125643765545883,1.3638093526045885,0.1977179521732698,0.9998500224966256,600090.0,3035081.0
composed_00518,Datasets/simu/background_with_flare_events_testoutput/composed_00518_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00518_bg_light.h5,0.8458535671234131,12.256535053253174,13.102391004562378,3.408306381165062,1.39630507080846,0.6865430856284892,0.999830028895088,1049861.0,1529199.0
composed_00519,Datasets/simu/background_with_flare_events_testoutput/composed_00519_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00519_bg_light.h5,0.8292973041534424,5.010290145874023,5.839590072631836,2.9486573766111865,1.4470764790725532,0.5816531119625651,0.9998600195972566,710758.0,1221962.0
composed_00520,Datasets/simu/background_with_flare_events_testoutput/composed_00520_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00520_bg_light.h5,0.3906624317169189,3.639360427856445,4.030025959014893,2.664278399858095,1.5565615933242856,0.8285801113946336,0.999830028895088,632548.0,763412.0
composed_00521,Datasets/simu/background_with_flare_events_testoutput/composed_00521_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00521_bg_light.h5,0.258298397064209,0.9007084369659424,1.1590089797973633,3.151273012108276,1.629566245462148,0.9803236206948504,0.9998900120986692,195204.0,199122.0
composed_00522,Datasets/simu/background_with_flare_events_testoutput/composed_00522_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00522_bg_light.h5,0.4140262603759765,6.702761173248291,7.1167893409729,3.507921774129758,1.6323629427067698,0.4156750574811337,0.9998400255959048,697117.0,1677072.0
composed_00523,Datasets/simu/background_with_flare_events_testoutput/composed_00523_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00523_bg_light.h5,0.5051059722900391,5.195672035217285,5.700780391693115,2.8230426480406683,1.4771073390492846,0.6722608938280852,0.9998800143982725,732439.0,1089516.0
composed_00524,Datasets/simu/background_with_flare_events_testoutput/composed_00524_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00524_bg_light.h5,0.5516457557678223,7.273403167724609,7.825050830841064,2.479737015206159,1.371696622251546,0.8133679427108356,0.9998400255959048,1151254.0,1415416.0
composed_00525,Datasets/simu/background_with_flare_events_testoutput/composed_00525_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00525_bg_light.h5,0.7116596698760986,7.783868312835693,8.495530128479004,4.391059358741575,1.531430756542258,0.5311923071353057,0.9998500224966256,916984.0,1726275.0
composed_00526,Datasets/simu/background_with_flare_events_testoutput/composed_00526_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00526_bg_light.h5,0.5495285987854004,5.219512462615967,5.769043445587158,3.3829179379888448,1.6013737674378214,0.2500997581054592,0.9998500224966256,414292.0,1656507.0
composed_00527,Datasets/simu/background_with_flare_events_testoutput/composed_00527_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00527_bg_light.h5,0.521075963973999,5.154446601867676,5.675524711608887,2.1911575694042424,1.448945373595607,0.8763993200642011,0.9998600195972566,905870.0,1033627.0
composed_00528,Datasets/simu/background_with_flare_events_testoutput/composed_00528_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00528_bg_light.h5,0.4159512519836426,4.222907066345215,4.638860940933228,14.690712757650491,1.7765119716468338,0.1189009262473281,0.999900009999,162707.0,1368425.0
composed_00529,Datasets/simu/background_with_flare_events_testoutput/composed_00529_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00529_bg_light.h5,0.8650805950164795,14.057509660720823,14.922593355178831,12.624184666835273,1.835784236067691,0.0087767732406611,0.999830028895088,35797.0,4078606.0
composed_00530,Datasets/simu/background_with_flare_events_testoutput/composed_00530_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00530_bg_light.h5,0.8972194194793701,23.23553276062012,24.13275504112244,10.49665310417912,1.7663940481657945,0.2186552254112385,0.999830028895088,399346.0,1826373.0
composed_00531,Datasets/simu/background_with_flare_events_testoutput/composed_00531_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00531_bg_light.h5,0.749718427658081,4.411000728607178,5.16072154045105,3.164572820202679,1.5457109016613926,0.6589209807892586,0.9998700168978034,628266.0,953477.0
composed_00532,Datasets/simu/background_with_flare_events_testoutput/composed_00532_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00532_bg_light.h5,0.683762788772583,10.257165431976318,10.940930604934692,2.65017978872048,1.365404633809573,0.4387016843808613,0.999830028895088,954299.0,2175280.0
composed_00533,Datasets/simu/background_with_flare_events_testoutput/composed_00533_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00533_bg_light.h5,1.0572726726531982,50.6961841583252,51.75346040725708,6.32432339729688,1.6227996276355072,0.3475209791908286,0.9998500224966256,915715.0,2634992.0
composed_00534,Datasets/simu/background_with_flare_events_testoutput/composed_00534_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00534_bg_light.h5,0.9084327220916748,7.441087961196899,8.349523544311523,4.985277878626382,1.7969201762400009,0.4317091526463528,0.9998600195972566,726222.0,1682202.0
composed_00535,Datasets/simu/background_with_flare_events_testoutput/composed_00535_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00535_bg_light.h5,0.4871840476989746,4.823047876358032,5.310234308242798,3.0493778364027264,1.2558199791310674,0.6677878106854603,0.9998400255959048,699469.0,1047442.0
composed_00536,Datasets/simu/background_with_flare_events_testoutput/composed_00536_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00536_bg_light.h5,0.544975757598877,6.532315731048584,7.07729434967041,3.778846825649934,1.6029483317465458,0.3707796960866416,0.9998400255959048,590635.0,1592954.0
composed_00537,Datasets/simu/background_with_flare_events_testoutput/composed_00537_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00537_bg_light.h5,0.7216260433197021,10.009127378463743,10.730756759643556,2.2081092079872318,1.3991465496856037,0.5634137824698883,0.9998400255959048,1242395.0,2205120.0
composed_00538,Datasets/simu/background_with_flare_events_testoutput/composed_00538_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00538_bg_light.h5,0.7220892906188965,7.562340021133423,8.28443193435669,4.1859504631486,1.545737589746612,0.7891043973091596,0.9998600195972566,679063.0,860549.0
composed_00539,Datasets/simu/background_with_flare_events_testoutput/composed_00539_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00539_bg_light.h5,0.676398515701294,7.56276535987854,8.239166259765625,2.997169259550617,1.3411344495851851,0.4479479344775899,0.9998400255959048,815547.0,1820629.0
composed_00540,Datasets/simu/background_with_flare_events_testoutput/composed_00540_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00540_bg_light.h5,0.7693688869476318,11.142948150634766,11.912319660186768,2.4408326293784,1.4425041137035826,0.2728360859870459,0.999830028895088,819685.0,3004313.0
composed_00541,Datasets/simu/background_with_flare_events_testoutput/composed_00541_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00541_bg_light.h5,0.5662524700164795,3.792700529098511,4.35895586013794,13.93617862319212,1.9600111982993336,0.4220771482604077,0.999930004899657,162926.0,386010.0
composed_00542,Datasets/simu/background_with_flare_events_testoutput/composed_00542_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00542_bg_light.h5,0.4724946022033691,7.786921977996826,8.259418964385986,4.706774202756044,1.5729565135013024,0.3510662217986177,0.9998500224966256,562083.0,1601074.0
composed_00543,Datasets/simu/background_with_flare_events_testoutput/composed_00543_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00543_bg_light.h5,0.5086300373077393,5.190895795822144,5.699528455734253,4.366498845032332,1.400609971589276,0.5599129282394664,0.9998500224966256,706838.0,1262407.0
composed_00544,Datasets/simu/background_with_flare_events_testoutput/composed_00544_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00544_bg_light.h5,0.665886402130127,7.947847843170166,8.613736629486084,5.317768683735357,1.712366276349535,0.3686106129536646,0.9998600195972566,667392.0,1810561.0
composed_00545,Datasets/simu/background_with_flare_events_testoutput/composed_00545_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00545_bg_light.h5,0.4383955001831054,3.6124677658081055,4.050865411758423,3.491818134902304,1.544238401485562,0.6627346158920657,0.9998500224966256,542496.0,818572.0
composed_00546,Datasets/simu/background_with_flare_events_testoutput/composed_00546_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00546_bg_light.h5,1.148568868637085,21.040775299072266,22.18934655189514,3.510823108903451,1.2878891498639518,0.1039359139535422,0.9998500224966256,542842.0,5222853.0
composed_00547,Datasets/simu/background_with_flare_events_testoutput/composed_00547_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00547_bg_light.h5,0.96821928024292,10.054406881332396,11.022628784179688,3.583300204108247,1.4866453475503263,0.2564117623680178,0.9998400255959048,580647.0,2264510.0
composed_00548,Datasets/simu/background_with_flare_events_testoutput/composed_00548_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00548_bg_light.h5,0.7264881134033203,3.463824510574341,4.190314531326294,6.387635168849667,1.818772524285438,0.7066380141701646,0.9998800143982725,507058.0,717564.0
composed_00549,Datasets/simu/background_with_flare_events_testoutput/composed_00549_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00549_bg_light.h5,0.8640236854553223,213.3091726303101,214.17319917678836,12.69930413986894,1.7005798863268522,0.1521744081653191,0.999830028895088,574606.0,3775970.0
composed_00550,Datasets/simu/background_with_flare_events_testoutput/composed_00550_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00550_bg_light.h5,0.8302934169769287,6.089367151260376,6.919662714004517,2.567628666768578,1.4942347232950353,0.4817659914538278,0.999830028895088,708936.0,1471536.0
composed_00551,Datasets/simu/background_with_flare_events_testoutput/composed_00551_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00551_bg_light.h5,0.8045988082885742,8.105034589767456,8.909635305404663,2.518880789845457,1.4310391181872335,0.5577886754171378,0.9998600195972566,1030398.0,1847291.0
composed_00552,Datasets/simu/background_with_flare_events_testoutput/composed_00552_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00552_bg_light.h5,0.8127110004425049,9.770286560058594,10.583000183105469,2.232880644470151,1.3864832356325667,0.599706467235654,0.9998900120986692,1260571.0,2101980.0
composed_00553,Datasets/simu/background_with_flare_events_testoutput/composed_00553_bg_flare.h5,Datasets/simu/background_with_light_events_test/composed_00553_bg_light.h5,1.177422285079956,12.210496187210085,13.38792085647583,6.658293116446087,1.643153625953571,0.1565481319394061,0.999830028895088,565759.0,3613962.0
AVERAGE,N/A,N/A,0.6389828443527221,13.625767469406128,14.2647532081604,4.776765085319106,1.5455303887049296,0.5149477592953712,0.9998520223965541,707419.32,1734796.52
